证券代码,证券名称,证券公司,资金账号,账号名称,成交金额,成交价格,成交数量,手续费,成交编号,合同编号,成交时间,买卖标记
600429,三元股份,方正证券,20818443_00,证券被动投资01,13143,10.11,1300,19.7145,1045225,2583,09:33:44,限价
600395,盘江股份,方正证券,20818443_00,证券被动投资01,17640,12.6,1400,8.82,238105,1086,09:30:04,限价
600395,盘江股份,方正证券,20818443_00,证券被动投资01,1260,12.6,100,0.63,238104,1086,09:30:04,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,14895,9.93,1500,7.4475,285169,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,9930,9.93,1000,4.965,285079,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,9930,9.93,1000,4.965,283069,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,993,9.93,100,0.4965,283022,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,993,9.93,100,0.4965,281599,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,35748,9.93,3600,17.874,279014,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,25818,9.93,2600,12.909,278983,1123,09:30:06,限价
600383,金地集团,方正证券,20818443_00,证券被动投资01,34755,9.93,3500,17.3775,278220,1123,09:30:06,限价
600372,中航电子,方正证券,20818443_00,证券被动投资01,36120,30.1,1200,18.06,240313,1067,09:30:04,限价
600369,西南证券,方正证券,20818443_00,证券被动投资01,47656,20.72,2300,23.828,239684,1098,09:30:04,限价
600348,阳泉煤业,方正证券,20818443_00,证券被动投资01,12415,9.55,1300,6.2075,251081,1081,09:30:04,限价
600348,阳泉煤业,方正证券,20818443_00,证券被动投资01,16235,9.55,1700,8.1175,251080,1081,09:30:04,限价
600340,华夏幸福,方正证券,20818443_00,证券被动投资01,70850,54.5,1300,35.425,266670,1133,09:30:05,限价
600315,上海家化,方正证券,20818443_00,证券被动投资01,145486,42.79,3400,218.229,379115,1591,09:30:22,限价
600309,万华化学,方正证券,20818443_00,证券被动投资01,73854,22.38,3300,36.927,247419,1113,09:30:04,限价
600277,亿利能源,方正证券,20818443_00,证券被动投资01,13872,11.56,1200,6.936,252916,1100,09:30:05,限价
600277,亿利能源,方正证券,20818443_00,证券被动投资01,11560,11.56,1000,5.78,252915,1100,09:30:05,限价
600277,亿利能源,方正证券,20818443_00,证券被动投资01,21964,11.56,1900,10.982,252914,1100,09:30:05,限价
600267,海正药业,方正证券,20818443_00,证券被动投资01,48001,20.87,2300,24.0005,251083,1089,09:30:04,限价
600252,中恒集团,方正证券,20818443_00,证券被动投资01,23448,19.54,1200,11.724,271518,1142,09:30:05,限价
600252,中恒集团,方正证券,20818443_00,证券被动投资01,9770,19.54,500,4.885,271517,1142,09:30:05,限价
600252,中恒集团,方正证券,20818443_00,证券被动投资01,13678,19.54,700,6.839,271516,1142,09:30:05,限价
600221,海南航空,方正证券,20818443_00,证券被动投资01,47565,4.53,10500,23.7825,266411,1136,09:30:05,限价
600196,复星医药,方正证券,20818443_00,证券被动投资01,47690,25.1,1900,23.845,267503,1128,09:30:05,限价
600188,兖州煤业,方正证券,20818443_00,证券被动投资01,16170,14.7,1100,8.085,240403,1090,09:30:04,限价
600184,光电股份,方正证券,20818443_00,证券被动投资01,37320,46.65,800,55.98,634007,2040,09:31:47,限价
600166,福田汽车,方正证券,20818443_00,证券被动投资01,10430,7.45,1400,5.215,242274,1095,09:30:04,限价
600166,福田汽车,方正证券,20818443_00,证券被动投资01,37200,7.44,5000,18.6,242273,1095,09:30:04,限价
600161,天坛生物,方正证券,20818443_00,证券被动投资01,22578,37.63,600,33.867,266456,1168,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,19920,12.45,1600,9.96,265236,1151,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,7470,12.45,600,3.735,265235,1151,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,42330,12.45,3400,21.165,265234,1151,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,6225,12.45,500,3.1125,265233,1151,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,12450,12.45,1000,6.225,265232,1151,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,6225,12.45,500,3.1125,265231,1151,09:30:05,限价
600153,建发股份,方正证券,20818443_00,证券被动投资01,13684,12.44,1100,6.842,265230,1151,09:30:05,限价
600143,金发科技,方正证券,20818443_00,证券被动投资01,2628,8.76,300,1.314,261732,1131,09:30:05,限价
600143,金发科技,方正证券,20818443_00,证券被动投资01,8760,8.76,1000,4.38,261731,1131,09:30:05,限价
600143,金发科技,方正证券,20818443_00,证券被动投资01,3504,8.76,400,1.752,261730,1131,09:30:05,限价
600143,金发科技,方正证券,20818443_00,证券被动投资01,70956,8.76,8100,35.478,261729,1131,09:30:05,限价
600122,宏图高科,方正证券,20818443_00,证券被动投资01,16682,8.78,1900,25.023,643712,2069,09:31:50,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,45342,25.19,1800,68.013,807412,2030,09:32:37,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,12595,25.19,500,18.8925,806806,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,12595,25.19,500,18.8925,806301,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,5038,25.19,200,7.557,805900,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,25190,25.19,1000,37.785,805825,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,5038,25.19,200,7.557,805731,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,55418,25.19,2200,83.127,804654,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,12595,25.19,500,18.8925,804201,2030,09:32:36,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,70532,25.19,2800,105.798,800429,2030,09:32:35,限价
600109,国金证券,方正证券,20818443_00,证券被动投资01,37785,25.19,1500,56.6775,789812,2030,09:32:32,限价
600108,亚盛集团,方正证券,20818443_00,证券被动投资01,47236,9.64,4900,23.618,237342,1085,09:30:04,限价
600104,上汽集团,方正证券,20818443_00,证券被动投资01,46493,24.47,1900,23.2465,238103,1082,09:30:04,限价
600089,特变电工,方正证券,20818443_00,证券被动投资01,22729,13.37,1700,11.3645,240407,1093,09:30:04,限价
600089,特变电工,方正证券,20818443_00,证券被动投资01,13370,13.37,1000,6.685,240406,1093,09:30:04,限价
600089,特变电工,方正证券,20818443_00,证券被动投资01,12033,13.37,900,6.0165,240405,1093,09:30:04,限价
600079,人福医药,方正证券,20818443_00,证券被动投资01,48580,34.7,1400,24.29,251078,1079,09:30:04,限价
600067,冠城大通,方正证券,20818443_00,证券被动投资01,28420,9.8,2900,42.63,673581,2057,09:31:58,限价
600058,五矿发展,方正证券,20818443_00,证券被动投资01,24660,20.55,1200,12.33,266731,1149,09:30:05,限价
600050,中国联通,方正证券,20818443_00,证券被动投资01,47880,5.32,9000,23.94,370679,1602,09:30:18,限价
600038,中直股份,方正证券,20818443_00,证券被动投资01,23355,46.71,500,11.6775,630813,2010,09:31:46,限价
600038,中直股份,方正证券,20818443_00,证券被动投资01,46710,46.71,1000,23.355,630096,2010,09:31:46,限价
600038,中直股份,方正证券,20818443_00,证券被动投资01,4670,46.7,100,2.335,625950,2010,09:31:45,限价
600038,中直股份,方正证券,20818443_00,证券被动投资01,4658,46.58,100,2.329,625949,2010,09:31:45,限价
600030,中信证券,方正证券,20818443_00,证券被动投资01,47925,31.95,1500,23.9625,251082,1088,09:30:04,限价
600027,华电国际,方正证券,20818443_00,证券被动投资01,47736,6.63,7200,23.868,279204,1145,09:30:06,限价
600019,宝钢股份,方正证券,20818443_00,证券被动投资01,19105.5,7.05,2710,9.55275,386385,1580,09:30:26,限价
600019,宝钢股份,方正证券,20818443_00,证券被动投资01,28834.5,7.05,4090,14.41725,385362,1580,09:30:26,限价
600015,华夏银行,方正证券,20818443_00,证券被动投资01,106356.58,12.38,8591,159.53487,634555,2043,09:31:47,限价
600015,华夏银行,方正证券,20818443_00,证券被动投资01,12380,12.38,1000,18.57,634554,2043,09:31:47,限价
600015,华夏银行,方正证券,20818443_00,证券被动投资01,118959.42,12.38,9609,178.43913,634553,2043,09:31:47,限价
600011,华能国际,方正证券,20818443_00,证券被动投资01,25296,8.16,3100,12.648,270842,1160,09:30:05,限价
600011,华能国际,方正证券,20818443_00,证券被动投资01,816,8.16,100,0.408,268778,1160,09:30:05,限价
600011,华能国际,方正证券,20818443_00,证券被动投资01,1632,8.16,200,0.816,268777,1160,09:30:05,限价
600011,华能国际,方正证券,20818443_00,证券被动投资01,8160,8.16,1000,4.08,265322,1160,09:30:05,限价
600011,华能国际,方正证券,20818443_00,证券被动投资01,11424,8.16,1400,5.712,265321,1160,09:30:05,限价
600010,包钢股份,方正证券,20818443_00,证券被动投资01,10132,5.96,1700,15.198,944132,2442,09:33:16,限价
600010,包钢股份,方正证券,20818443_00,证券被动投资01,5960,5.96,1000,8.94,943832,2442,09:33:16,限价
600004,白云机场,方正证券,20818443_00,证券被动投资01,19504,12.19,1600,29.256,634010,2032,09:31:47,限价
600000,浦发银行,方正证券,20818443_00,证券被动投资01,169568,15.14,11200,254.352,374191,1626,09:30:20,限价
600000,浦发银行,方正证券,20818443_00,证券被动投资01,15140,15.14,1000,22.71,372898,1626,09:30:19,限价
600000,浦发银行,方正证券,20818443_00,证券被动投资01,15140,15.14,1000,22.71,372661,1626,09:30:19,限价
600000,浦发银行,方正证券,20818443_00,证券被动投资01,10598,15.14,700,15.897,372658,1626,09:30:19,限价
